="",="[0.89,1.07]",="[-0.01,-0.00]",="[-0.00,0.01]",="[0.01,0.01]",="[0.00,0.02]",="[0.00,0.00]",="[0.01,0.03]",="[-0.00,0.01]",="[-0.01,0.00]",="[-0.00,0.01]",="[1.04,1.19]",="[-0.04,-0.03]",="[0.13,0.15]",="[0.12,0.13]",="",="[0.07,0.09]"
="",="(0.000)",="(0.000)",="(0.083)",="(0.000)",="(0.006)",="(0.000)",="(0.000)",="(0.284)",="(0.413)",="(0.462)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="",="(0.000)"
="mc_csec",="1.22***",="-0.01*",="0.00**",="-0.00",="-0.02***",="0.00*",="0.00",="0.00",="0.00",="-0.02***",="0.02",="-0.01*",="0.10***",="0.06***",="0.05***",=""
="",="[1.15,1.29]",="[-0.01,-0.00]",="[0.00,0.01]",="[-0.00,0.00]",="[-0.02,-0.01]",="[0.00,0.00]",="[-0.00,0.01]",="[-0.00,0.01]",="[-0.00,0.01]",="[-0.02,-0.01]",="[-0.03,0.07]",="[-0.01,-0.00]",="[0.09,0.10]",="[0.06,0.07]",="[0.04,0.05]",=""
="",="(0.000)",="(0.014)",="(0.006)",="(0.189)",="(0.000)",="(0.038)",="(0.357)",="(0.266)",="(0.924)",="(0.000)",="(0.459)",="(0.014)",="(0.000)",="(0.000)",="(0.000)",=""
="mc_matage",="",="0.00",="-0.00",="-0.00***",="-0.01***",="-0.00***",="0.02***",="-0.00***",="0.02***",="0.01***",="0.02***",="0.00***",="0.01***",="0.00***",="0.00***",="0.01***"
="",="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,-0.00]",="[-0.01,-0.01]",="[-0.00,-0.00]",="[0.01,0.02]",="[-0.00,-0.00]",="[0.02,0.02]",="[0.01,0.01]",="[0.01,0.02]",="[0.00,0.00]",="[0.01,0.01]",="[0.00,0.00]",="[0.00,0.00]",="[0.01,0.01]"
="",="",="(0.095)",="(0.215)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="_cons",="25.23***",="0.86***",="0.45***",="0.23***",="0.85***",="1.00***",="-0.08***",="0.88***",="-0.37***",="0.30***",="6.45***",="0.34***",="-0.04***",="0.09***",="-0.10***",="-0.02**"
="",="[25.07,25.39]",="[0.85,0.87]",="[0.44,0.46]",="[0.23,0.24]",="[0.83,0.87]",="[1.00,1.00]",="[-0.10,-0.06]",="[0.86,0.89]",="[-0.38,-0.36]",="[0.28,0.32]",="[6.30,6.60]",="[0.32,0.35]",="[-0.05,-0.02]",="[0.08,0.10]",="[-0.11,-0.09]",="[-0.04,-0.01]"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.010)"
="N",="144607",="144607",="144607",="144607",="144607",="144607",="144607",="144607",="144607",="144607",="144607",="144607",="144607",="144607",="144607",="144607"
